Code,Inland_Area_(km)
E09000001,2.9
E09000002,36.11
E09000003,86.75
E09000004,60.58
E09000005,43.23
E09000006,150.13
E09000007,21.79
E09000008,86.5
E09000009,55.54
E09000010,80.83
E09000011,47.33
E09000012,19.05
E09000013,16.4
E09000014,29.6
E09000015,50.46
E09000016,112.35
E09000017,115.7
E09000018,55.98
E09000019,14.86
E09000020,12.12
E09000021,37.26
E09000022,26.81
E09000023,35.15
E09000024,37.62
E09000025,36.2
E09000026,56.42
E09000027,57.41
E09000028,28.86
E09000029,43.85
E09000030,19.78
E09000031,38.81
E09000032,34.26
E09000033,21.49
